date,1. open,2. high,3. low,4. close,5. volume
2020-11-24,336.91,344.11,334.115,342.39,3513355.0
2020-11-23,326.21,333.2,324.37,332.04,3220817.0
2020-11-20,334.78,335.155,323.0,323.0,4144864.0
2020-11-19,335.49,339.16,331.42,333.88,2718742.0
2020-11-18,336.53,340.95,334.855,335.94,3203424.0
2020-11-17,333.17,337.77,330.72,336.5,3412853.0
2020-11-16,341.8,342.65,333.17,335.45,3313117.0
2020-11-13,330.3,336.11,327.34,335.03,2393997.0
2020-11-12,329.06,333.09,326.295,328.29,3208585.0
2020-11-11,337.41,337.7,331.07,332.39,2969922.0
2020-11-10,339.99,345.86,333.44,334.78,5330365.0
2020-11-09,346.92,357.0,340.9,344.56,10933692.0
2020-11-06,315.98,316.49,310.09,313.64,2978524.0
2020-11-05,315.14,319.35,313.58,316.53,3794406.0
2020-11-04,305.09,312.7199,302.24,307.2,4790140.0
2020-11-03,294.45,300.34,291.78,295.39,4097715.0
2020-11-02,294.24,294.8372,288.12,289.97,5095018.0
2020-10-30,289.85,291.85,281.2,288.64,6893575.0
2020-10-29,293.2,295.3,287.55,293.18,9582260.0
2020-10-28,301.69,302.0,288.6,291.38,11518248.0
2020-10-27,318.9,319.555,312.355,317.11,4314917.0
2020-10-26,326.41,327.24,314.23,318.06,5173344.0
2020-10-23,335.69,335.69,328.31,329.61,2945459.0
2020-10-22,333.37,335.375,329.25,333.6,2256296.0
2020-10-21,332.49,336.32,331.3,333.42,2725252.0
2020-10-20,333.04,336.8,331.68,331.72,2679689.0
2020-10-19,340.12,341.3,330.43,331.67,2937563.0
2020-10-16,340.0,344.9787,339.23,339.4,3326354.0
2020-10-15,338.3,339.61,332.815,338.57,3728078.0
2020-10-14,345.76,347.19,341.19,342.7,2234659.0
2020-10-13,351.43,351.5,345.02,345.84,2523751.0
2020-10-12,355.0,355.0,350.82,352.04,2943192.0
2020-10-09,347.99,353.36,347.0,352.39,3116763.0
2020-10-08,345.01,347.69,344.24,345.15,1991848.0
2020-10-07,341.78,344.65,340.335,343.9,3068268.0
2020-10-06,342.06,346.36,336.22,337.43,2553410.0
2020-10-05,341.68,343.25,338.97,343.25,2081554.0
2020-10-02,338.27,342.61,336.01,338.83,2184840.0
2020-10-01,342.24,346.7,340.28,343.37,2503643.0
2020-09-30,336.7,343.65,336.42,338.17,3285410.0
2020-09-29,338.39,340.72,335.82,336.23,2703855.0
2020-09-28,336.61,340.57,335.81,338.39,3122503.0
2020-09-25,325.65,333.48,322.1,331.78,3077606.0
2020-09-24,323.2,330.78,321.18,328.21,3706328.0
2020-09-23,334.84,335.17,323.47,324.53,2893892.0
2020-09-22,329.51,336.03,325.11,335.31,3375282.0
2020-09-21,329.47,331.67,320.81,327.85,4466047.0
2020-09-18,338.21,341.135,333.37,335.26,4006023.0
2020-09-17,337.14,343.72,336.0,339.43,3713239.0
2020-09-16,341.28,346.04,339.785,341.85,3049084.0
2020-09-15,342.74,343.93,338.53,339.14,2396398.0
2020-09-14,334.97,340.0,334.02,338.6,3416441.0
2020-09-11,334.71,334.71,327.31,330.15,2920670.0
2020-09-10,342.5,345.13,331.14,332.88,2845917.0
2020-09-09,337.39,342.76,332.37,339.64,3344928.0
2020-09-08,328.76,335.71,326.9,329.88,4425652.0
