date,MACD,MACD_Signal,MACD_Hist
2020-07-31,-0.1112,-0.0905,-0.0207
2020-07-30,-0.1014,-0.0853,-0.0161
2020-07-29,-0.0976,-0.0813,-0.0163
2020-07-28,-0.0842,-0.0772,-0.006999999999999999
2020-07-27,-0.0791,-0.0755,-0.0036
2020-07-24,-0.0704,-0.0746,0.0042
2020-07-23,-0.0654,-0.0756,0.0102
2020-07-22,-0.0632,-0.0782,0.015
2020-07-21,-0.0625,-0.0819,0.0195
2020-07-20,-0.0668,-0.0868,0.0201
2020-07-17,-0.0865,-0.0918,0.0053
2020-07-16,-0.0983,-0.0931,-0.0052
2020-07-15,-0.115,-0.0918,-0.0231
2020-07-14,-0.1223,-0.0861,-0.0362
2020-07-13,-0.1116,-0.077,-0.0346
2020-07-10,-0.0922,-0.0684,-0.0239
2020-07-09,-0.0814,-0.0624,-0.019
2020-07-08,-0.0685,-0.0576,-0.0109
2020-07-07,-0.0622,-0.0549,-0.0073
2020-07-06,-0.0533,-0.0531,-0.0002
2020-07-02,-0.0482,-0.053,0.0048
2020-07-01,-0.0513,-0.0542,0.003
2020-06-30,-0.0544,-0.055,0.0006
2020-06-29,-0.0556,-0.0551,-0.0005
2020-06-26,-0.0654,-0.055,-0.0104
2020-06-25,-0.0546,-0.0524,-0.0022
2020-06-24,-0.0614,-0.0518,-0.0096
2020-06-23,-0.0682,-0.0494,-0.0188
2020-06-22,-0.0535,-0.0447,-0.0088
2020-06-19,-0.0584,-0.0425,-0.0158
2020-06-18,-0.0668,-0.0386,-0.0282
2020-06-17,-0.0562,-0.0316,-0.0246
2020-06-16,-0.0499,-0.0254,-0.0245
2020-06-15,-0.0474,-0.0193,-0.0281
2020-06-12,-0.0598,-0.0122,-0.0475
2020-06-11,-0.0523,-0.0003,-0.0519
2020-06-10,-0.0277,0.0126,-0.0403
2020-06-09,-0.0336,0.0227,-0.0563
2020-06-08,-0.0172,0.0368,-0.054000000000000006
2020-06-05,-0.0011,0.0503,-0.0514
2020-06-04,0.0052,0.0631,-0.058
2020-06-03,0.0294,0.0776,-0.0482
2020-06-02,0.0528,0.0897,-0.0369
2020-06-01,0.0665,0.0989,-0.0324
2020-05-29,0.0791,0.107,-0.0279
2020-05-28,0.0838,0.114,-0.0302
2020-05-27,0.0876,0.1215,-0.034
2020-05-26,0.1002,0.13,-0.0298
2020-05-22,0.117,0.1374,-0.0204
2020-05-21,0.1357,0.1426,-0.0069
2020-05-20,0.1525,0.1443,0.0082
2020-05-19,0.1686,0.1422,0.0264
2020-05-18,0.1786,0.1356,0.043
2020-05-15,0.1786,0.1249,0.0537
2020-05-14,0.1689,0.1115,0.0574
2020-05-13,0.1489,0.0971,0.0518
2020-05-12,0.1263,0.0842,0.0422
2020-05-11,0.1405,0.0736,0.0669
2020-05-08,0.1331,0.0569,0.0762
2020-05-07,0.1146,0.0379,0.0767
2020-05-06,0.0934,0.0187,0.0747
2020-05-05,0.0548,0.0,0.0548
2020-05-04,0.0037,-0.0137,0.0174
2020-05-01,-0.0066,-0.018000000000000002,0.0114
2020-04-30,-0.0064,-0.0209,0.0145
2020-04-29,-0.006,-0.0245,0.0185
2020-04-28,-0.0024,-0.0291,0.0267
2020-04-27,-0.0039,-0.0358,0.0319
2020-04-24,-0.0027,-0.0438,0.0411
2020-04-23,-0.0112,-0.054000000000000006,0.0428
2020-04-22,-0.023,-0.0647,0.0417
2020-04-21,-0.0408,-0.0752,0.0344
2020-04-20,-0.0476,-0.0837,0.0361
2020-04-17,-0.0577,-0.0928,0.0351
2020-04-16,-0.0656,-0.1015,0.0359
2020-04-15,-0.0686,-0.1105,0.0419
2020-04-14,-0.0695,-0.121,0.0515
2020-04-13,-0.0757,-0.1339,0.0582
2020-04-09,-0.0896,-0.1484,0.0588
2020-04-08,-0.1142,-0.1631,0.0489
2020-04-07,-0.1358,-0.1754,0.0396
2020-04-06,-0.14,-0.1853,0.0453
2020-04-03,-0.1515,-0.1966,0.0451
2020-04-02,-0.1523,-0.2079,0.0556
2020-04-01,-0.1586,-0.2218,0.0631
2020-03-31,-0.1665,-0.2375,0.071
2020-03-30,-0.1914,-0.2553,0.0638
2020-03-27,-0.2205,-0.2713,0.0508
2020-03-26,-0.2554,-0.2839,0.0286
2020-03-25,-0.2891,-0.2911,0.002
2020-03-24,-0.3329,-0.2916,-0.0413
2020-03-23,-0.3708,-0.2813,-0.0896
2020-03-20,-0.3792,-0.2589,-0.1204
2020-03-19,-0.3691,-0.2288,-0.1404
2020-03-18,-0.3509,-0.1937,-0.1572
2020-03-17,-0.3194,-0.1544,-0.1651
2020-03-16,-0.29100000000000004,-0.1131,-0.1778
2020-03-13,-0.231,-0.0687,-0.1623
2020-03-12,-0.1929,-0.0281,-0.1648
2020-03-11,-0.119,0.0131,-0.1321
2020-03-10,-0.0668,0.0461,-0.1129
2020-03-09,-0.0277,0.0744,-0.102
2020-03-06,0.0186,0.0999,-0.0813
2020-03-05,0.0478,0.1202,-0.0724
2020-03-04,0.0743,0.1383,-0.064
2020-03-03,0.0856,0.1543,-0.0687
2020-03-02,0.1192,0.1715,-0.0523
2020-02-28,0.1409,0.1845,-0.0436
2020-02-27,0.1646,0.1954,-0.0308
2020-02-26,0.1792,0.2031,-0.0239
2020-02-25,0.1962,0.2091,-0.0129
2020-02-24,0.2141,0.2123,0.0018
2020-02-21,0.2287,0.2119,0.0168
2020-02-20,0.2206,0.2077,0.0129
2020-02-19,0.203,0.2045,-0.0015
2020-02-18,0.2131,0.2048,0.0083
2020-02-14,0.2067,0.2028,0.004
2020-02-13,0.2129,0.2018,0.0111
2020-02-12,0.2095,0.199,0.0105
2020-02-11,0.2,0.1964,0.0037
2020-02-10,0.1912,0.1955,-0.0043
2020-02-07,0.1914,0.1965,-0.0051
2020-02-06,0.1777,0.1978,-0.0202
2020-02-05,0.1524,0.2029,-0.0504
2020-02-04,0.1333,0.2155,-0.0822
2020-02-03,0.1141,0.236,-0.1219
2020-01-31,0.1307,0.2665,-0.1358
2020-01-30,0.1642,0.3005,-0.1363
2020-01-29,0.2005,0.3345,-0.1341
2020-01-28,0.2459,0.3681,-0.1221
2020-01-27,0.3197,0.3986,-0.0789
2020-01-24,0.3889,0.4183,-0.0294
2020-01-23,0.4501,0.4257,0.0244
2020-01-22,0.4657,0.4196,0.0461
2020-01-21,0.4514,0.408,0.0433
2020-01-17,0.4265,0.3972,0.0293
2020-01-16,0.4262,0.3899,0.0364
2020-01-15,0.4289,0.3808,0.0481
2020-01-14,0.425,0.3688,0.0562
2020-01-13,0.424,0.3547,0.0693
2020-01-10,0.4002,0.3374,0.0629
2020-01-09,0.3784,0.3217,0.0567
2020-01-08,0.3593,0.3075,0.0518
2020-01-07,0.3592,0.2945,0.0646
2020-01-06,0.3497,0.2784,0.0713
2020-01-03,0.3305,0.2605,0.07
2020-01-02,0.3033,0.243,0.0603
2019-12-31,0.2824,0.228,0.0545
2019-12-30,0.2629,0.2144,0.0486
2019-12-27,0.2494,0.2022,0.0472
2019-12-26,0.2459,0.1904,0.0555
2019-12-24,0.2358,0.1765,0.0592
2019-12-23,0.2225,0.1617,0.0608
2019-12-20,0.2053,0.1465,0.0588
2019-12-19,0.1917,0.1318,0.0598
2019-12-18,0.1816,0.1169,0.0647
2019-12-17,0.1651,0.1007,0.0644
2019-12-16,0.1336,0.0846,0.049
2019-12-13,0.1035,0.0723,0.0312
2019-12-12,0.0983,0.0646,0.0337
2019-12-11,0.0912,0.0561,0.0351
2019-12-10,0.0757,0.0474,0.0284
2019-12-09,0.0712,0.0403,0.0309
2019-12-06,0.0613,0.0325,0.0287
2019-12-05,0.0528,0.0253,0.0275
2019-12-04,0.0459,0.0185,0.0274
2019-12-03,0.0399,0.0116,0.0283
2019-12-02,0.0317,0.0046,0.0271
2019-11-29,0.0228,-0.0022,0.025
2019-11-27,0.0161,-0.0085,0.0246
2019-11-26,0.0075,-0.0146,0.0221
2019-11-25,-0.0017,-0.0201,0.0184
2019-11-22,-0.0154,-0.0247,0.0094
2019-11-21,-0.0225,-0.0271,0.0046
2019-11-20,-0.0312,-0.0282,-0.0029
2019-11-19,-0.0357,-0.0275,-0.0082
2019-11-18,-0.0359,-0.0255,-0.0104
2019-11-15,-0.0336,-0.0228,-0.0107
2019-11-14,-0.0301,-0.0202,-0.0099
2019-11-13,-0.0283,-0.0177,-0.0106
2019-11-12,-0.0195,-0.015,-0.0045
2019-11-11,-0.0141,-0.0139,-0.0002
2019-11-08,-0.0141,-0.0139,-0.0003
2019-11-07,-0.016,-0.0138,-0.0022
2019-11-06,-0.015,-0.0132,-0.0018
2019-11-05,-0.0157,-0.0128,-0.0029
2019-11-04,-0.0183,-0.0121,-0.0062
2019-11-01,-0.0234,-0.0105,-0.0129
2019-10-31,-0.0225,-0.0073,-0.0152
2019-10-30,-0.0199,-0.0035,-0.0164
2019-10-29,-0.0184,0.0006,-0.019
2019-10-28,-0.0132,0.0053,-0.0185
2019-10-25,-0.0104,0.01,-0.0203
2019-10-24,-0.0076,0.015,-0.0227
2019-10-23,0.0031,0.0207,-0.0176
2019-10-22,0.0116,0.0251,-0.0135
2019-10-21,0.0233,0.0285,-0.0051
2019-10-18,0.0298,0.0298,0.0001
2019-10-17,0.0275,0.0298,-0.0022
2019-10-16,0.0272,0.0303,-0.0031
2019-10-15,0.0275,0.0311,-0.0036
2019-10-14,0.0281,0.032,-0.0039
2019-10-11,0.0308,0.033,-0.0021
2019-10-10,0.0349,0.0335,0.0014
2019-10-09,0.0405,0.0332,0.0074
2019-10-08,0.0431,0.0313,0.0118
2019-10-07,0.0438,0.0284,0.0154
2019-10-04,0.0439,0.0245,0.0194
2019-10-03,0.0425,0.0197,0.0228
2019-10-02,0.04,0.014,0.026
2019-10-01,0.0383,0.0075,0.0309
2019-09-30,0.0315,-0.0002,0.0318
2019-09-27,0.0214,-0.0082,0.0296
2019-09-26,0.0153,-0.0156,0.0309
2019-09-25,0.0052,-0.0233,0.0285
2019-09-24,-0.0057,-0.0304,0.0247
2019-09-23,-0.0195,-0.0366,0.0171
2019-09-20,-0.0308,-0.0409,0.0101
2019-09-19,-0.0386,-0.0434,0.0049
2019-09-18,-0.0388,-0.0446,0.0058
2019-09-17,-0.0406,-0.0461,0.0055
2019-09-16,-0.0422,-0.0475,0.0052
2019-09-13,-0.0438,-0.0488,0.005
2019-09-12,-0.0451,-0.05,0.005
2019-09-11,-0.0476,-0.0513,0.0037
2019-09-10,-0.0486,-0.0522,0.0036
2019-09-09,-0.0492,-0.0531,0.0039
2019-09-06,-0.0513,-0.0541,0.0028
2019-09-05,-0.0521,-0.0548,0.0026
2019-09-04,-0.0515,-0.0554,0.0039
2019-09-03,-0.054000000000000006,-0.0564,0.0024
2019-08-30,-0.0543,-0.057,0.0027
2019-08-29,-0.0591,-0.0577,-0.0014
2019-08-28,-0.0653,-0.0573,-0.008
2019-08-27,-0.0672,-0.0553,-0.0119
2019-08-26,-0.0564,-0.0524,-0.0041
2019-08-23,-0.0602,-0.0513,-0.0089
2019-08-22,-0.0652,-0.0491,-0.016
2019-08-21,-0.0695,-0.0451,-0.0244
2019-08-20,-0.0759,-0.039,-0.0369
2019-08-19,-0.0649,-0.0298,-0.0351
2019-08-16,-0.061,-0.021,-0.0399
2019-08-15,-0.05,-0.011,-0.039
2019-08-14,-0.0394,-0.0013,-0.0381
2019-08-13,-0.0243,0.0082,-0.0325
2019-08-12,-0.0158,0.0164,-0.0322
2019-08-09,-0.0048,0.0244,-0.0292
2019-08-08,0.0165,0.0317,-0.0152
2019-08-07,0.0272,0.0355,-0.0084
2019-08-06,0.0241,0.0376,-0.0135
2019-08-05,0.0269,0.041,-0.0141
2019-08-02,0.0311,0.0445,-0.0134
2019-08-01,0.0371,0.0479,-0.0108
2019-07-31,0.0391,0.0506,-0.0115
2019-07-30,0.039,0.0534,-0.0144
2019-07-29,0.0373,0.0571,-0.0197
2019-07-26,0.0387,0.062,-0.0233
2019-07-25,0.0348,0.0678,-0.033
2019-07-24,0.0436,0.076,-0.0324
2019-07-23,0.0522,0.0841,-0.0319
2019-07-22,0.0603,0.0921,-0.0318
2019-07-19,0.0729,0.1001,-0.0272
2019-07-18,0.0899,0.1069,-0.017
2019-07-17,0.1041,0.1111,-0.006999999999999999
2019-07-16,0.1117,0.1129,-0.0012
2019-07-15,0.1136,0.1132,0.0004
2019-07-12,0.1154,0.113,0.0023
2019-07-11,0.118,0.1125,0.0055
2019-07-10,0.1145,0.1111,0.0035
2019-07-09,0.1125,0.1102,0.0023
2019-07-08,0.1145,0.1096,0.0048
2019-07-05,0.1132,0.1084,0.0048
2019-07-03,0.1049,0.1072,-0.0024
2019-07-02,0.1029,0.1078,-0.0049
2019-07-01,0.1019,0.1091,-0.0071
2019-06-28,0.1033,0.1108,-0.0075
2019-06-27,0.1066,0.1127,-0.0061
2019-06-26,0.1103,0.1142,-0.004
2019-06-25,0.1138,0.1152,-0.0014
2019-06-24,0.1183,0.1156,0.0027
2019-06-21,0.1192,0.1149,0.0042
2019-06-20,0.1176,0.1139,0.0037
2019-06-19,0.1138,0.113,0.0008
2019-06-18,0.1135,0.1127,0.0007
2019-06-17,0.1175,0.1126,0.0049
2019-06-14,0.1178,0.1113,0.0065
2019-06-13,0.1186,0.1097,0.0089
2019-06-12,0.1128,0.1075,0.0053
2019-06-11,0.1098,0.1062,0.0036
2019-06-10,0.1126,0.1053,0.0073
2019-06-07,0.1155,0.1034,0.0121
2019-06-06,0.1165,0.1004,0.0161
2019-06-05,0.1192,0.0964,0.0228
2019-06-04,0.1117,0.0907,0.021
2019-06-03,0.1036,0.0854,0.0181
2019-05-31,0.112,0.0809,0.0312
2019-05-30,0.1009,0.0731,0.0278
2019-05-29,0.0841,0.0662,0.0179
2019-05-28,0.0829,0.0617,0.0212
2019-05-24,0.0771,0.0564,0.0207
2019-05-23,0.0705,0.0512,0.0193
2019-05-22,0.0673,0.0464,0.0209
2019-05-21,0.0586,0.0411,0.0175
2019-05-20,0.0544,0.0368,0.0176
2019-05-17,0.0511,0.0324,0.0188
2019-05-16,0.0473,0.0277,0.0197
2019-05-15,0.0458,0.0227,0.0231
2019-05-14,0.0453,0.017,0.0283
2019-05-13,0.0338,0.0099,0.0239
2019-05-10,0.0267,0.0039,0.0228
2019-05-09,0.0225,-0.0018,0.0243
2019-05-08,0.0166,-0.0079,0.0245
2019-05-07,0.0039,-0.014,0.0179
2019-05-06,-0.0063,-0.0185,0.0122
2019-05-03,-0.0162,-0.0215,0.0053
2019-05-02,-0.0225,-0.0229,0.0004
2019-05-01,-0.0271,-0.023,-0.0041
2019-04-30,-0.0316,-0.0219,-0.0097
2019-04-29,-0.0348,-0.0195,-0.0153
2019-04-26,-0.0334,-0.0157,-0.0177
2019-04-25,-0.0229,-0.0113,-0.0116
2019-04-24,-0.0193,-0.0084,-0.011
2019-04-23,-0.0155,-0.0056,-0.0099
2019-04-22,-0.0145,-0.0031,-0.0114
2019-04-18,-0.0151,-0.0003,-0.0148
2019-04-17,-0.0135,0.0034,-0.0169
2019-04-16,0.0009,0.0076,-0.0068
2019-04-15,0.0039,0.0093,-0.0054
2019-04-12,0.0038,0.0107,-0.0069
2019-04-11,0.0096,0.0124,-0.0028
2019-04-10,0.0102,0.0131,-0.0029
2019-04-09,0.0114,0.0138,-0.0024
2019-04-08,0.0098,0.0145,-0.0046
2019-04-05,0.0055,0.0156,-0.0101
2019-04-04,0.008,0.0182,-0.0101
2019-04-03,0.0122,0.0207,-0.0085
2019-04-02,0.0143,0.0228,-0.0085
2019-04-01,0.0147,0.0249,-0.0102
2019-03-29,0.0242,0.0275,-0.0033
2019-03-28,0.0298,0.0283,0.0015
2019-03-27,0.0325,0.0279,0.0046
2019-03-26,0.0365,0.0268,0.0097
2019-03-25,0.04,0.0244,0.0156
2019-03-22,0.0388,0.0204,0.0184
2019-03-21,0.0327,0.0159,0.0168
2019-03-20,0.0243,0.0117,0.0127
2019-03-19,0.0205,0.0085,0.012
2019-03-18,0.0112,0.0055,0.0058
2019-03-15,0.0125,0.004,0.0084
2019-03-14,0.0078,0.0019,0.0058
2019-03-13,0.0077,0.0005,0.0073
2019-03-12,0.0035,-0.0013,0.0049
2019-03-11,0.0022,-0.0026,0.0048
2019-03-08,0.0035,-0.0038,0.0072
2019-03-07,0.0061,-0.0056,0.0117
2019-03-06,0.0043,-0.0085,0.0128
2019-03-05,0.0039,-0.0117,0.0156
2019-03-04,-0.0027,-0.0156,0.0129
2019-03-01,-0.0131,-0.0188,0.0057
2019-02-28,-0.0212,-0.0202,-0.001
2019-02-27,-0.0342,-0.02,-0.0142
2019-02-26,-0.0422,-0.0164,-0.0258
2019-02-25,-0.0365,-0.01,-0.0265
2019-02-22,-0.0236,-0.0034,-0.0202
2019-02-21,-0.0169,0.0017,-0.0186
2019-02-20,-0.0144,0.0063,-0.0207
2019-02-19,-0.0078,0.0115,-0.0193
2019-02-15,-0.0023,0.0163,-0.0187
2019-02-14,0.0077,0.021,-0.0133
2019-02-13,0.0164,0.0243,-0.008
2019-02-12,0.0282,0.0263,0.0019
2019-02-11,0.0296,0.0258,0.0038
2019-02-08,0.031,0.0249,0.0061
2019-02-07,0.0323,0.0234,0.0089
2019-02-06,0.0335,0.0212,0.0124
2019-02-05,0.0376,0.0181,0.0196
2019-02-04,0.0342,0.0132,0.021
2019-02-01,0.0263,0.0079,0.0184
2019-01-31,0.0198,0.0033,0.0165
2019-01-30,0.0108,-0.0008,0.0116
2019-01-29,0.0027,-0.0037,0.0064
2019-01-28,-0.0036,-0.0053,0.0017
2019-01-25,-0.0085,-0.0057,-0.0028
2019-01-24,-0.0117,-0.005,-0.0067
2019-01-23,-0.0104,-0.0034,-0.0071
2019-01-22,-0.0086,-0.0016,-0.0071
2019-01-18,-0.0063,0.0002,-0.0064
2019-01-17,-0.0021,0.0018,-0.0039
2019-01-16,0.0022,0.0028,-0.0006
2019-01-15,0.0036,0.0029,0.0007
2019-01-14,0.0063,0.0027,0.0036
2019-01-11,0.0117,0.0018,0.0099
2019-01-10,0.0144,-0.0006,0.015
2019-01-09,0.0136,-0.0044,0.0179
2019-01-08,0.0087,-0.0089,0.0176
2019-01-07,-0.0001,-0.0133,0.0131
2019-01-04,-0.0165,-0.0165,0.0
2019-01-03,-0.0169,-0.0165,-0.0003
2019-01-02,-0.016,-0.0165,0.0005
2018-12-31,-0.0208,-0.0166,-0.0042
2018-12-28,-0.0266,-0.0155,-0.0111
2018-12-27,-0.0234,-0.0128,-0.0107
2018-12-26,-0.0211,-0.0101,-0.011
2018-12-24,-0.0178,-0.0073,-0.0105
2018-12-21,-0.0144,-0.0047,-0.0097
2018-12-20,-0.0108,-0.0023,-0.0085
2018-12-19,-0.0071,-0.0002,-0.0069
2018-12-18,-0.0033,0.0015,-0.0048
2018-12-17,-0.0055,0.0027,-0.0082
2018-12-14,-0.0062,0.0048,-0.011
2018-12-13,-0.0008,0.0075,-0.0084
2018-12-12,0.0059,0.0096,-0.0037
2018-12-11,0.0074,0.0106,-0.0032
2018-12-10,0.0132,0.0114,0.0018
2018-12-07,0.0194,0.0109,0.0085
2018-12-06,0.0281,0.0088,0.0193
2018-12-04,0.0255,0.0039,0.0216
2018-12-03,0.0218,-0.0015,0.0233
2018-11-30,0.0158,-0.0073,0.0231
2018-11-29,0.0099,-0.013,0.023
2018-11-28,0.0012,-0.0188,0.02
2018-11-27,-0.0129,-0.0238,0.0109
2018-11-26,-0.0257,-0.0265,0.0009
2018-11-23,-0.0253,-0.0267,0.0014
2018-11-21,-0.0255,-0.0271,0.0016
2018-11-20,-0.0233,-0.0275,0.0042
2018-11-19,-0.0202,-0.0286,0.0084
2018-11-16,-0.0169,-0.0307,0.0138
2018-11-15,-0.0155,-0.0341,0.0185
2018-11-14,-0.0169,-0.0387,0.0218
2018-11-13,-0.0192,-0.0442,0.025
2018-11-12,-0.0248,-0.0504,0.0256
2018-11-09,-0.0276,-0.0569,0.0293
2018-11-08,-0.0307,-0.0642,0.0335
2018-11-07,-0.0424,-0.0725,0.0301
2018-11-06,-0.0476,-0.0801,0.0325
2018-11-05,-0.0616,-0.0882,0.0266
2018-11-02,-0.0756,-0.0948,0.0193
2018-11-01,-0.0893,-0.0997,0.0104
2018-10-31,-0.0983,-0.1023,0.004
2018-10-30,-0.0961,-0.1032,0.0071
2018-10-29,-0.0951,-0.105,0.0099
2018-10-26,-0.0995,-0.1075,0.008
2018-10-25,-0.1006,-0.1095,0.0089
2018-10-24,-0.1026,-0.1117,0.0092
2018-10-23,-0.1036,-0.114,0.0104
2018-10-22,-0.1045,-0.1166,0.0122
2018-10-19,-0.105,-0.1197,0.0146
2018-10-18,-0.1083,-0.1233,0.015
2018-10-17,-0.1114,-0.1271,0.0157
2018-10-16,-0.1153,-0.131,0.0157
2018-10-15,-0.1257,-0.1349,0.0092
2018-10-12,-0.1361,-0.1372,0.0011
2018-10-11,-0.1474,-0.1375,-0.0099
2018-10-10,-0.1465,-0.135,-0.0115
2018-10-09,-0.1473,-0.1322,-0.0151
2018-10-08,-0.1482,-0.1284,-0.0198
2018-10-05,-0.1502,-0.1235,-0.0267
2018-10-04,-0.1516,-0.1168,-0.0348
2018-10-03,-0.1522,-0.1081,-0.0441
2018-10-02,-0.1467,-0.097,-0.0496
2018-10-01,-0.1319,-0.0846,-0.0473
2018-09-28,-0.1096,-0.0728,-0.0368
2018-09-27,-0.0908,-0.0636,-0.0272
2018-09-26,-0.0613,-0.0568,-0.0045
2018-09-25,-0.0554,-0.0557,0.0003
2018-09-24,-0.0562,-0.0558,-0.0005
2018-09-21,-0.0595,-0.0556,-0.0039
2018-09-20,-0.0598,-0.0547,-0.0051
2018-09-19,-0.0623,-0.0534,-0.0089
2018-09-18,-0.0626,-0.0512,-0.0114
